
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Limity mno¿nika turbo - AVX2, Wynik³y:","56x (1-2c), 55x (3-8c)"
"Maksymalne limity wspó³czynnika na rdzeñ (po³¹czony):","55, 55, 55, 55, 56, 56, 55, 55, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43"
"Maksymalne limity wspó³czynnika na rdzeñ (bie¿¹ce):","55, 55, 55, 55, 56, 56, 55, 55, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43"
"Aktualny procesor:","5486.6 MHz = 55 x 99.8 MHz @ 1.3818 V"
"Maksymalna liczba LLC/pierœcieñ:","5000.0 MHz = 50.00 x 100.0 MHz"
"Obecny LLC/pierœcieñ:","4489.0 MHz = 45.00 x 99.8 MHz @ 1.2887 V"
"Typ magistrali procesora:","Intel Direct Media Interface (DMI) v4.0"
"Maksymalna prêdkoœæ ³¹cza DMI:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza DMI:","16.0 GT/s"
"Liczba etapów podkrêcania:","Nieograniczony"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Utrzymany"
"Bezpieczny limit mno¿nika:","85x"
"Limit mno¿nika OC:","56x"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","-120 mV"
"IccMax:","240.00 A"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Nieobs³ugiwany"
"Bezpieczny limit mno¿nika:","N/A"
"Limit mno¿nika OC:","1x"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","0 mV"
"IccMax:","30.00 A"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Utrzymany"
"Bezpieczny limit mno¿nika:","85x"
"Limit mno¿nika OC:","50x"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","0 mV"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Nieobs³ugiwany"
"Bezpieczny limit mno¿nika:","N/A"
"Limit mno¿nika OC:","1x"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","0 mV"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Nieobs³ugiwany"
"Bezpieczny limit mno¿nika:","N/A"
"Limit mno¿nika OC:","N/A"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","0 mV"
"Przesuniêcie napiêcia:","Utrzymany"
"Nadpisanie napiêcia:","Utrzymany"
"Podkrêcanie wspó³czynnika:","Nieobs³ugiwany"
"Bezpieczny limit mno¿nika:","N/A"
"Limit mno¿nika OC:","N/A"
"Tryb napiêcia:","Interpolacyjny"
"Voltage Offset (Global):","0 mV"
"IA Domain Loadline (AC/DC):","0.740 / 0.740 mOhm"
"GT Domain Loadline (AC/DC):","4.000 / 4.000 mOhm"
"Pamiêæ podrêczna L1 (P-cores):","Instruction: 8 x 32 KB, Data: 8 x 48 KB"
"Pamiêæ podrêczna L1 (E-cores):","Instruction: 12 x 64 KB, Data: 12 x 32 KB"
"Pamiêæ podrêczna L2 (P-cores):","Integrated: 8 x 2 MB"
"Pamiêæ podrêczna L2 (E-cores):","Integrated: 3 x 4 MB"
"Pamiêæ podrêczna L3:","33 MB"
"Instruction TLB:","2MB/4MB Pages, 8-way set associative, 4 sets"
"Unified TLB:","4KB/2MB/4MB Pages, 8-way set associative, 128 sets"
"FPU on Chip","Obecny"
"Enhanced Virtual-86 Mode","Obecny"
"I/O Breakpoints","Obecny"
"Page Size Extensions","Obecny"
"Time Stamp Counter","Obecny"
"Pentium-style Model Specific Registers","Obecny"
"Physical Address Extension","Obecny"
"Machine Check Exception","Obecny"
"CMPXCHG8B Instruction","Obecny"
"APIC On Chip / PGE (AMD)","Obecny"
"Fast System Call","Obecny"
"Memory Type Range Registers","Obecny"
"Page Global Feature","Obecny"
"Machine Check Architecture","Obecny"
"CMOV Instruction","Obecny"
"Page Attribute Table","Obecny"
"36-bit Page Size Extensions","Obecny"
"Processor Number","Nieobecny"
"CLFLUSH Instruction","Obecny"
"Debug Trace and EMON Store","Obecny"
"Internal ACPI Support","Obecny"
"MMX Technology","Obecny"
"Fast FP Save/Restore (IA MMX-2)","Obecny"
"Streaming SIMD Extensions","Obecny"
"Streaming SIMD Extensions 2","Obecny"
"Self-Snoop","Obecny"
"Multi-Threading Capable","Obecny"
"Automatic Clock Control","Obecny"
"IA-64 Processor","Nieobecny"
"Signal Break on FERR","Obecny"
"Virtual Machine Extensions (VMX)","Obecny"
"Safer Mode Extensions (Intel TXT)","Nieobecny"
"Streaming SIMD Extensions 3","Obecny"
"Supplemental Streaming SIMD Extensions 3","Obecny"
"Streaming SIMD Extensions 4.1","Obecny"
"Streaming SIMD Extensions 4.2","Obecny"
"AVX Support","Obecny"
"Fused Multiply Add (FMA)","Obecny"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Obecny"
"CMPXCHG16B Support","Obecny"
"MOVBE Instruction","Obecny"
"POPCNT Instruction","Obecny"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Obecny"
"XGETBV/XSETBV OS Enabled","Obecny"
"Float16 Instructions","Obecny"
"AES Cryptography Support","Obecny"
"Random Number Read Instruction (RDRAND)","Obecny"
"Extended xAPIC","Obecny"
"MONITOR/MWAIT Support","Obecny"
"Thermal Monitor 2","Obecny"
"Enhanced SpeedStep Technology","Obecny"
"L1 Context ID","Nieobecny"
"Send Task Priority Messages Disabling","Obecny"
"Processor Context ID","Obecny"
"Direct Cache Access","Nieobecny"
"TSC-deadline Timer","Obecny"
"Performance/Debug Capability MSR","Obecny"
"IA32 Debug Interface Support","Obecny"
"64-Bit Debug Store","Obecny"
"CPL Qualified Debug Store","Obecny"
"64-bit Extensions","Obecny"
"RDTSCP and TSC_AUX Support","Obecny"
"1 GB large page support","Obecny"
"No Execute","Obecny"
"SYSCALL/SYSRET Support","Obecny"
"Bit Manipulation Instructions Set 1","Obecny"
"Bit Manipulation Instructions Set 2","Obecny"
"Advanced Vector Extensions 2 (AVX2)","Obecny"
"Advanced Vector Extensions 512 (AVX-512) Foundation","Nieobecny"
"AVX-512 Prefetch Instructions","Nieobecny"
"AVX-512 Exponential and Reciprocal Instructions","Nieobecny"
"AVX-512 Conflict Detection Instructions","Nieobecny"
"AVX-512 Doubleword and Quadword Instructions","Nieobecny"
"AVX-512 Byte and Word Instructions","Nieobecny"
"AVX-512 Vector Length Extensions","Nieobecny"
"AVX-512 52-bit Integer FMA Instructions","Nieobecny"
"Secure Hash Algorithm (SHA) Extensions","Obecny"
"Software Guard Extensions (SGX) Support","Nieobecny"
"Supervisor Mode Execution Protection (SMEP)","Obecny"
"Supervisor Mode Access Prevention (SMAP)","Obecny"
"Hardware Lock Elision (HLE)","Nieobecny"
"Restricted Transactional Memory (RTM)","Nieobecny"
"Memory Protection Extensions (MPX)","Nieobecny"
"Read/Write FS/GS Base Instructions","Obecny"
"Enhanced Performance String Instruction","Obecny"
"INVPCID Instruction","Obecny"
"RDSEED Instruction","Obecny"
"Multi-precision Add Carry Instructions (ADX)","Obecny"
"PCOMMIT Instructions","Nieobecny"
"CLFLUSHOPT Instructions","Obecny"
"CLWB Instructions","Obecny"
"Time-Stamp Counter Adjustment","Obecny"
"Platform Quality of Service Monitoring (PQM)","Nieobecny"
"Platform Quality of Service Enforcement (PQE)","Nieobecny"
"FPU Data Pointer updated only on x87 Exceptions","Obecny"
"Deprecated FPU CS and FPU DS","Obecny"
"Intel Processor Trace","Obecny"
"PREFETCHWT1 Instruction","Nieobecny"
"AVX-512 Vector Bit Manipulation Instructions","Nieobecny"
"AVX-512 Vector Bit Manipulation Instructions 2","Nieobecny"
"AVX-512 Galois Fields New Instructions","Obecny"
"AVX-512 Vector AES","Obecny"
"AVX-512 Vector Neural Network Instructions","Nieobecny"
"AVX-512 Bit Algorithms","Nieobecny"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Obecny"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Nieobecny"
"User-Mode Instruction Prevention","Obecny"
"Protection Keys for User-mode Pages","Obecny"
"OS Enabled Protection Keys","Nieobecny"
"Wait and Pause Enhancements (WAITPKG)","Obecny"
"Total Memory Encryption","Nieobecny"
"Key Locker","Obecny"
"57-bit Linear Addresses, 5-level Paging","Nieobecny"
"Read Processor ID","Obecny"
"OS Bus-Lock Detection","Nieobecny"
"Cache Line Demote","Nieobecny"
"MOVDIRI: Direct Stores","Obecny"
"MOVDIR64B: Direct Stores","Obecny"
"ENQCMD: Enqueue Stores","Nieobecny"
"SGX Launch Configuration","Nieobecny"
"Protection Keys for Supervisor-Mode Pages","Obecny"
"Control-Flow Enforcement Technology (CET) Shadow Stack","Obecny"
"Attestation Services for Intel SGX","Nieobecny"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","Nieobecny"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","Nieobecny"
"Fast Short REP MOV","Obecny"
"User Interrupts","Nieobecny"
"AVX-512 VP2INTERSECT Support","Nieobecny"
"AVX-512 FP16","Nieobecny"
"MD_CLEAR Support","Obecny"
"IA32_MCU_OPT_CTRL MSR Support","Nieobecny"
"Restricted Transactional Memory (RTM) Always Abort","Nieobecny"
"Restricted Transactional Memory (RTM) Force Abort","Nieobecny"
"SERIALIZE","Obecny"
"Hybrid Processor","Obecny"
"TSX Suspend Load Address Tracking","Nieobecny"
"Platform Configuration (PCONFIG)","Nieobecny"
"Architectural LBRs","Obecny"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Obecny"
"Single Thread Indirect Branch Predictors (STIBP)","Obecny"
"L1D_FLUSH Support","Obecny"
"IA32_ARCH_CAPABILITIES MSR","Obecny"
"IA32_CORE_CAPABILITIES MSR","Obecny"
"Speculative Store Bypass Disable (SSBD)","Obecny"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","Obecny"
"Advanced Matrix Extensions (AMX) Tile Architecture","Nieobecny"
"Advanced Matrix Extensions (AMX) bfloat16 Support","Nieobecny"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","Nieobecny"
"SHA512 Instructions","Nieobecny"
"SM3 Instructions","Nieobecny"
"SM4 Instructions","Nieobecny"
"Advanced Matrix Extensions (AMX) FP16 Instructions","Nieobecny"
"AVX (VEX-encoded) Vector Neural Network Instructions","Obecny"
"AVX-512 BFLOAT16 Instructions","Nieobecny"
"Fast Zero-Length MOVSB","Nieobecny"
"Fast Short STOSB","Obecny"
"Fast Short CMPSB, SCASB","Nieobecny"
"History Reset","Obecny"
"Linear Address Masking","Nieobecny"
"Linear Address Space Separation","Nieobecny"
"RAO-INT Instructions","Nieobecny"
"CMPccXADD Instructions","Nieobecny"
"Flexible Return and Event Delivery (FRED)","Nieobecny"
"LKGS Instruction","Nieobecny"
"WRMSRNS Instruction","Nieobecny"
"NMI-source Reporting","Nieobecny"
"AVX-IFMA Instructions","Nieobecny"
"RD/WR MSRLIST Instructions","Nieobecny"
"INVD Execution Prevention After BIOS-Done","Nieobecny"
"Move Read-Shared Value (MOVRS)","Nieobecny"
"Protected Processor Inventory Number (IA32_PPIN) Support","Nieobecny"
"PBNDKB Instruction","Nieobecny"
"X86S (Legacy-reduced OS ISA)","Nieobecny"
"64-bit SIPI","Nieobecny"
"RDMSR/WRMSR Immediate Forms","Nieobecny"
"AVX-VNNI-INT8 Instructions","Nieobecny"
"AVX-VNNI-INT16 Instructions","Nieobecny"
"AVX-NE-CONVERT Instructions","Nieobecny"
"PREFETCHIT0/1 Instructions","Nieobecny"
"URDMSR/UWRMSR Instructions","Nieobecny"
"AMX-COMPLEX Instructions","Nieobecny"
"CET Supervisor Shadow-Stack","Obecny"
"UIRET Support","Nieobecny"
"User-Timer Events","Nieobecny"
"MWAIT Instruction","Nieobecny"
"Static Lockstep Mode","Nieobecny"
"Advanced Vector Extensions 10 (AVX10)","Nieobecny"
"Advanced Performance Extensions (APX) Foundation","Nieobecny"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","Nieobecny"
"UC-Lock Disable Feature","Nieobecny"
"Rogue Data Cache Load (RDCL):","Not Susceptible"
"Speculative Store Bypass (SSB):","Susceptible"
"Microarchitectural Data Sampling (MDS):","Not Susceptible"
"MCE on modifying code page size without TLB invalidation:","Not Susceptible"
"Transactional Asynchronous Abort (TAA):","Not Affected"
"Shared Buffers Data Read (SBDR), Sideband Stale Data Propagator (SSDP) Vulnerability:","Not Affected"
"Fill Buffer Stale Data Propagator (FBSDP) Vulnerability:","Not Affected"
"Primary Stale Data Propagator (PSDP) Vulnerability:","Not Affected"
"Post-barrier Return Stack Buffer Predictions Vulnerability:","Affected"
"Gather Data Sampling Vulnerability:","Not Affected"
"Register File Data Sampling Vulnerability:","Affected"
"Indirect Target Selection:","Not Affected"
"Indirect Branch Restriction Speculation (IBRS):","Utrzymany"
"RTM_DISABLE and TSX_CPUID_CLEAR:","Nieobs³ugiwany"
"RSB Alternate:","Nieobs³ugiwany"
"L1D Flush on VM Entry Not Needed:","Utrzymany"
"Data Operand Independent Timing Mode (DOITM):","Utrzymany"
"Kontrola filtrowania energii:","Utrzymany"
"Stan filtrowania energii:","Wy³¹czony"
"Data Operand Independent Timing Mode:","Utrzymany"
"RRSBA Alternate Prediction Behavior:","Utrzymany"
"BHI_NO Branch Prediction Behavior:","Nieobs³ugiwany"
"MCU Enumeration MSR:","Nieobs³ugiwany"
"MCU Extended Servicing:","Utrzymany"
"Overclocking Utilized:","W³¹czony"
"Dynamic Overclocking Undervolt Protection:","Wy³¹czony"
"Overclocking Secure Status:","Wy³¹czony"
"STLB QoS:","Utrzymany"
"Functional Safety (FuSa):","Utrzymany"
"RSM in CPL0 only:","Utrzymany"
"UC Load Lock Disable:","Utrzymany"
"#AC on Split Locks:","Utrzymany"
"Snoop Filter Quality of Service:","Utrzymany"
"UC Store Throttling:","Utrzymany"
"Bitfix Reset:","Nieobs³ugiwany"
"MBA 4.0:","Nieobs³ugiwany"
"Thermal Monitor 1:","Utrzymany, W³¹czony"
"Thermal Monitor 2:","Utrzymany, W³¹czony"
"Enhanced Intel SpeedStep (GV3):","Utrzymany, W³¹czony"
"Bi-directional PROCHOT#:","W³¹czony"
"Extended Auto-HALT State C1E:","W³¹czony"
"MLC Streamer Prefetcher","Utrzymany, W³¹czony"
"MLC Spatial Prefetcher","Utrzymany, W³¹czony"
"DCU Streamer Prefetcher","Utrzymany, W³¹czony"
"DCU IP Prefetcher","Utrzymany, W³¹czony"
"Intel Dynamic Acceleration (IDA) Technology:","Nieobs³ugiwany"
"Intel Dynamic FSB Switching:","Nieobs³ugiwany"
"Intel Turbo Boost Technology:","Utrzymany, W³¹czony"
"Programmable Ratio Limits:","Utrzymany, Wy³¹czony"
"Programmable TDC/TDP Limits:","Utrzymany, Wy³¹czony"
"Hardware Duty Cycling:","Nieobs³ugiwany"
"Intel Speed Select:","Nieobs³ugiwany"
"NVME:","Utrzymany"
"DMI x4 Width:","Utrzymany"
"DRAM ECC:","Nieobs³ugiwany"
"VT-d:","Utrzymany"
"DMI in Gen2 Mode:","Utrzymany"
"1N Mode DDR Timings:","Utrzymany"
"Camarillo (DTT) Device:","Utrzymany"
"2 DIMMs per Channel:","Utrzymany"
"X2APIC:","Utrzymany"
"Dual Memory Channel:","Utrzymany"
"Integrated GPU (IGD):","Wy³¹czony"
"2 Level Memory (2LM):","Nieobs³ugiwany"
"DDR Overclocking:","W³¹czony"
"Maksymalny rozmiar pamiêci na kana³:","32 GB (unlimited)"
"IMGU/IPU Device:","Nieobs³ugiwany"
"Intel Processor Trace (Northpeak):","Utrzymany"
"Overclocking:","W³¹czony"
"Hyper-Threading (SMT):","Utrzymany"
"SVM:","Utrzymany"
"Dodatkowa grafika:","Wy³¹czony"
"PCIe Gen 3:","Utrzymany"
"DMI Gen 3:","Utrzymany"
"HDCP:","Utrzymany"
"L Technology:","1LM"
"VMD:","Utrzymany"
"PCIe Gen 5:","Utrzymany"
"PCIe Gen 4:","Utrzymany"
"BCLK OC Limit:","Unlimited"
"DDR4:","Utrzymany"
"LPDDR4:","Nieobs³ugiwany"
"Dynamic Memory Frequency (QCLK GV):","Utrzymany"
"Software Guard Extension (SGX):","Nieobs³ugiwany"
"DDR5:","Utrzymany"
"Maksymalna obs³ugiwana czêstotliwoœæ DDR5:","Nieograniczony"
"LPDDR5:","Nieobs³ugiwany"
"VCC VR:","Intersil/Renesas ISL69269/RAA229130, IMVP9.1/Psys"
"VR Thermal Sensor:","Utrzymany"
"Maksymalny rozmiar adresu fizycznego:","39-bit (512 GB)"
"Maksymalny rozmiar adresu wirtualnego:","48-bit (256 TB)"
"Range 80000000-100000000 (2048MB-4096MB) Type:","Uncacheable (UC)"
"Range 70000000-80000000 (1792MB-2048MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 4000000000-8000000000 (262144MB-524288MB) Type:","Uncacheable (UC)"

P³yta g³ówna

"Nazwa marki komputera:","ASRock Z790 Steel Legend WiFi"
"Model p³yty g³ównej:","ASRock Z790 Steel Legend WiFi"
"Chipset p³yty g³ównej:","Intel Z790 (Raptor Lake-S PCH)"
"Gniazda p³yt g³ównych:","2xPCI Express x1, 7xPCI Express x4, 2xPCI Express x8, 1xPCI Express x16"
"Obs³ugiwana wersja PCI Express:","v5.0"
"Obs³ugiwana wersja USB:","v3.2"
"Producent BIOS-u:","American Megatrends International, LLC."
"Data BIOS (mm/dd/yyyy):","10/08/2025"
"Wersja BIOS-u:","21.02"
"UEFI BIOS:","Zdolny"
"Uk³ad Super-IO/LPC:","Nuvoton NCT6796D"
"Uk³ad Trusted Platform Module (TPM):","Hardware TPM, version 2.0"

Urz¹dzenia ACPI


Intel(R) Watchdog Timer Driver (Intel(R) WDT)

"Nazwa urz¹dzenia:","Intel(R) Watchdog Timer Driver (Intel(R) WDT)"
"Port We/Wy:","1854 - 1857"
"Port We/Wy:","1854 - 1857"

Trusted Platform Module 2.0

"Nazwa urz¹dzenia:","Trusted Platform Module 2.0"
"Lokalizacja pamiêci:","FED40000 - FED44FFF"
"Lokalizacja pamiêci:","FED40000 - FED44FFF"

Programmable interrupt controller

"Nazwa urz¹dzenia:","Programmable interrupt controller"
"Port We/Wy:","0020 - 0021"
"Port We/Wy:","0030 - 0031"
"Port We/Wy:","00A0 - 00A1"
"Port We/Wy:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"Port We/Wy:","0020 - 0021"
"Port We/Wy:","0024 - 0025"
"Port We/Wy:","0028 - 0029"
"Port We/Wy:","002C - 002D"
"Port We/Wy:","0030 - 0031"
"Port We/Wy:","0034 - 0035"
"Port We/Wy:","0038 - 0039"
"Port We/Wy:","003C - 003D"
"Port We/Wy:","00A0 - 00A1"
"Port We/Wy:","00A4 - 00A5"
"Port We/Wy:","00A8 - 00A9"
"Port We/Wy:","00AC - 00AD"
"Port We/Wy:","00B0 - 00B1"
"Port We/Wy:","00B4 - 00B5"
"Port We/Wy:","00B8 - 00B9"
"Port We/Wy:","00BC - 00BD"
"Port We/Wy:","04D0 - 04D1"

System timer

"Nazwa urz¹dzenia:","System timer"
"Port We/Wy:","0040 - 0043"
"DMA:","0"
"Port We/Wy:","0040 - 0043"
"Port We/Wy:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Nazwa urz¹dzenia:","High precision event timer"
"Lokalizacja pamiêci:","FED00000 - FED003FF"
"Lokalizacja pamiêci:","FED00000 - FED003FF"

PCI Express Root Complex

"Nazwa urz¹dzenia:","PCI Express Root Complex"
"Port We/Wy:","0000 - FFFFFFFF"
"Lokalizacja pamiêci:","000A0000 - 000BFFFF"
"Lokalizacja pamiêci:","000E4000 - 000E3FFF"
"Lokalizacja pamiêci:","000EC000 - 000EFFFF"
"Port We/Wy:","0000 - 0CF7"
"Port We/Wy:","0D00 - FFFF"
"Lokalizacja pamiêci:","000A0000 - 000BFFFF"
"Lokalizacja pamiêci:","000E0000 - 000E3FFF"
"Lokalizacja pamiêci:","000E4000 - 000E7FFF"
"Lokalizacja pamiêci:","000E8000 - 000EBFFF"
"Lokalizacja pamiêci:","000EC000 - 000EFFFF"
"Lokalizacja pamiêci:","70000000 - BFFFFFFF"

Motherboard resources

"Nazwa urz¹dzenia:","Motherboard resources"
"Port We/Wy:","0280 - 028F"
"Port We/Wy:","0280 - 028F"
"Port We/Wy:","0290 - 029F"
"Port We/Wy:","02A0 - 02BF"
"Port We/Wy:","02C0 - 02DF"

Motherboard resources

"Nazwa urz¹dzenia:","Motherboard resources"
"Lokalizacja pamiêci:","FEDC0000 - FEDC7FFF"
"Lokalizacja pamiêci:","FED20000 - FED7FFFF"
"Lokalizacja pamiêci:","FEDC0000 - FEDC7FFF"
"Lokalizacja pamiêci:","FEDA0000 - FEDA0FFF"
"Lokalizacja pamiêci:","FEDA1000 - FEDA1FFF"
"Lokalizacja pamiêci:","C0000000 - CFFFFFFF"
"Lokalizacja pamiêci:","FED20000 - FED7FFFF"
"Lokalizacja pamiêci:","FED90000 - FED93FFF"
"Lokalizacja pamiêci:","FED45000 - FED8FFFF"
"Lokalizacja pamiêci:","FEE00000 - FEEFFFFF"

Motherboard resources

"Nazwa urz¹dzenia:","Motherboard resources"
"Port We/Wy:","002E - 002F"
"Port We/Wy:","0065"
"Port We/Wy:","0000 - 006F"
"Port We/Wy:","0092"
"IRQ:","1114369"
"Port We/Wy:","002E - 002F"
"Port We/Wy:","004E - 004F"
"Port We/Wy:","0061"
"Port We/Wy:","0063"
"Port We/Wy:","0065"
"Port We/Wy:","0067"
"Port We/Wy:","0070"
"Port We/Wy:","0080"
"Port We/Wy:","0092"
"Port We/Wy:","00B2 - 00B3"
"Port We/Wy:","0680 - 069F"
"Port We/Wy:","164E - 164F"

Motherboard resources

"Nazwa urz¹dzenia:","Motherboard resources"
"Port We/Wy:","2000 - 20FE"
"Port We/Wy:","2000 - 20FE"

SMBIOS DMI


BIOS

"Producent BIOS-u:","American Megatrends International, LLC."
"Wersja BIOS-u:","21.02"
"Data wydania systemu BIOS (mm/dd/yyyy):","10/08/2025"
"Segment startowy systemu BIOS:","F000"
"Rozmiar BIOS-u:","32 MB"
"Wersja systemu BIOS:","5.27"
"ISA Support:","Nieobecny"
"MCA Support:","Nieobecny"
"EISA Support:","Nieobecny"
"PCI Support:","Obecny"
"PC Card (PCMCIA) Support:","Nieobecny"
"Plug-and-Play Support:","Nieobecny"
"APM Support:","Nieobecny"
"Flash BIOS:","Obecny"
"BIOS Shadow:","Obecny"
"VL-VESA Support:","Nieobecny"
"ESCD Support:","Nieobecny"
"Boot from CD:","Obecny"
"Selectable Boot:","Obecny"
"BIOS ROM Socketed:","Obecny"
"Boot from PC Card:","Nieobecny"
"EDD Support:","Obecny"
"NEC PC-98 Support:","Nieobecny"
"ACPI Support:","Obecny"
"USB Legacy Support:","Obecny"
"AGP Support:","Nieobecny"
"I2O Boot Support:","Nieobecny"
"LS-120 Boot Support:","Nieobecny"
"ATAPI ZIP Drive Boot Support:","Nieobecny"
"IEE1394 Boot Support:","Nieobecny"
"Smart Battery Support:","Nieobecny"
"BIOS Boot Specification Support:","Obecny"
"Function key-initiated Network Service Boot Support:","Nieobecny"
"Targeted Content Distribution Support:","Obecny"
"UEFI Specification Support:","Obecny"
"Virtual Machine:","Nieobecny"

System

"Producent systemów:","ASRock"
"Nazwa produktu:","Z790 Steel Legend WiFi"
"Wersja Produktu:","To Be Filled By O.E.M."
"Numer seryjny produktu:","To Be Filled By O.E.M."
"UUID:","{21006B9C-1851-0000-0000-000000000000}"
"SKU Number:","To Be Filled By O.E.M."
"Family:","To Be Filled By O.E.M."

P³yta g³ówna

"Producent p³yty g³ównej:","ASRock"
"Nazwa p³yty g³ównej:","Z790 Steel Legend WiFi"
"Wersja p³yty g³ównej:",""
"Numer seryjny p³yty g³ównej:","M80-G5008700302"
"Asset Tag:","                      "
"Lokalizacja w obudowie:","                      "

Obudowa systemu

"Producent:","To Be Filled By O.E.M."
"Typ obudowy:","Desktop"
"Wersja:","To Be Filled By O.E.M."
"Numer seryjny:","To Be Filled By O.E.M."
"Asset Tag Number:","To Be Filled By O.E.M."

Ci¹gi tekstowe OEM



Informacje o rozruchu systemu

"Stan rozruchu:","Nie wyst¹pi³ b³¹d"

Dodatkowe informacje o procesorze

"Nazwa sk³adnika oprogramowania sprzêtowego:","@"
"Firmware Manufacturer:",""
"Wersja oprogramowania sprzêtowego:","@"
"Data wydania oprogramowania sprzêtowego:",""

TPM

"Wersja specyfikacji TPM:","2.0"
"Dostawca modu³u TPM:","Intel"
"Opis modu³u TPM:","INTEL"

Firmware Inventory Information

"Nazwa sk³adnika oprogramowania sprzêtowego:","TPM Firmware"
"Firmware Manufacturer:","INTEL"
"Wersja oprogramowania sprzêtowego:","2580012:1E08D8
"
"Data wydania oprogramowania sprzêtowego:","2021-05-15T00:00:00Z"

Pamiêæ podrêczna L1

"Oznaczenie gniazda:","L1 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
